"age","marital","education","housing","loan","contact","month","duration","pdays","TermDeposit"
35,"married","tertiary","yes","no","cellular","jul",65,-1,"no"
36,"married","secondary","yes","no","unknown","may",482,-1,"no"
47,"married","tertiary","no","yes","cellular","aug",898,-1,"no"
31,"single","secondary","no","no","cellular","jul",167,181,"no"
45,"married","secondary","yes","yes","cellular","jan",625,-1,"no"
26,"single","secondary","yes","no","unknown","jun",18,-1,"no"
53,"married","secondary","no","no","cellular","aug",78,-1,"no"
50,"married","tertiary","no","yes","cellular","aug",50,-1,"no"
43,"married","secondary","yes","no","telephone","may",128,324,"no"
33,"married","secondary","yes","no","cellular","apr",322,-1,"no"
30,"single","unknown","yes","no","cellular","nov",1206,-1,"no"
42,"married","tertiary","yes","no","cellular","nov",149,186,"no"
51,"divorced","tertiary","no","no","cellular","aug",84,-1,"no"
51,"divorced","tertiary","yes","no","cellular","nov",72,-1,"no"
49,"married","primary","yes","yes","unknown","may",520,-1,"yes"
43,"single","tertiary","no","no","unknown","jun",147,-1,"no"
30,"married","secondary","yes","no","cellular","jul",15,-1,"no"
42,"married","tertiary","no","no","cellular","feb",156,-1,"yes"
32,"married","secondary","yes","yes","cellular","aug",132,-1,"no"
40,"married","secondary","yes","no","unknown","may",735,-1,"no"
56,"married","primary","yes","no","telephone","may",179,-1,"no"
43,"married","tertiary","no","no","cellular","dec",150,195,"yes"
53,"divorced","tertiary","no","no","cellular","aug",173,-1,"no"
45,"married","secondary","no","no","unknown","jun",442,-1,"no"
47,"married","primary","yes","yes","cellular","aug",166,-1,"no"
35,"single","secondary","yes","no","cellular","may",85,-1,"no"
58,"married","secondary","no","no","cellular","jan",536,-1,"no"
50,"single","tertiary","no","no","unknown","jun",338,-1,"no"
35,"single","tertiary","no","no","cellular","jun",651,-1,"yes"
39,"married","secondary","no","no","cellular","aug",102,-1,"no"
29,"single","tertiary","no","no","cellular","aug",130,94,"yes"
39,"single","tertiary","yes","no","cellular","nov",147,170,"no"
43,"married","secondary","no","no","cellular","jul",129,-1,"no"
60,"married","secondary","no","yes","cellular","aug",87,-1,"no"
43,"divorced","secondary","yes","no","cellular","jan",74,-1,"no"
60,"married","unknown","yes","no","unknown","jun",32,-1,"no"
48,"married","primary","yes","no","cellular","feb",144,209,"no"
45,"single","tertiary","no","no","cellular","nov",125,-1,"no"
39,"divorced","secondary","yes","yes","cellular","oct",222,-1,"yes"
54,"married","secondary","yes","no","cellular","aug",164,-1,"no"
42,"married","tertiary","yes","yes","unknown","may",193,-1,"no"
46,"married","secondary","no","no","cellular","aug",565,-1,"yes"
30,"married","tertiary","yes","no","cellular","jan",464,258,"no"
52,"married","primary","yes","no","unknown","may",60,-1,"no"
41,"married","secondary","yes","no","cellular","may",208,325,"no"
36,"single","secondary","yes","no","cellular","nov",139,-1,"no"
39,"married","tertiary","yes","no","unknown","jun",268,-1,"no"
31,"single","secondary","no","yes","cellular","jul",230,-1,"no"
54,"married","tertiary","yes","yes","unknown","may",12,-1,"no"
39,"divorced","tertiary","yes","no","cellular","nov",1337,126,"no"
38,"married","secondary","yes","yes","unknown","jun",406,-1,"no"
51,"divorced","primary","no","no","telephone","jan",360,-1,"no"
31,"single","secondary","no","yes","cellular","aug",186,-1,"no"
36,"married","tertiary","no","no","cellular","aug",558,-1,"no"
47,"married","tertiary","no","no","cellular","mar",80,-1,"yes"
31,"married","secondary","yes","no","cellular","apr",342,-1,"no"
37,"married","secondary","no","yes","unknown","jun",89,-1,"no"
52,"married","primary","yes","no","unknown","may",30,-1,"no"
30,"married","secondary","yes","no","cellular","apr",294,275,"no"
32,"married","secondary","no","no","cellular","jan",366,-1,"yes"
41,"married","primary","yes","no","unknown","may",423,-1,"no"
30,"single","secondary","yes","yes","unknown","may",220,-1,"no"
33,"single","secondary","no","yes","cellular","nov",966,-1,"no"
47,"married","primary","no","no","unknown","jun",148,-1,"no"
60,"divorced","secondary","no","no","cellular","feb",282,-1,"no"
42,"married","primary","no","no","unknown","jun",19,-1,"no"
37,"married","tertiary","no","no","cellular","aug",23,-1,"no"
35,"married","secondary","no","no","unknown","may",274,-1,"no"
26,"single","tertiary","yes","no","telephone","nov",5,-1,"no"
31,"married","tertiary","yes","no","unknown","jun",138,-1,"no"
31,"married","primary","yes","no","unknown","may",104,-1,"no"
31,"married","primary","yes","no","cellular","feb",256,190,"no"
52,"single","secondary","yes","no","cellular","jul",159,-1,"no"
28,"married","secondary","yes","no","cellular","may",74,-1,"no"
47,"married","secondary","yes","yes","unknown","may",370,-1,"no"
59,"married","secondary","no","no","unknown","jun",77,-1,"no"
59,"divorced","primary","no","yes","cellular","jul",116,-1,"no"
46,"single","tertiary","no","yes","cellular","nov",104,-1,"no"
32,"single","tertiary","yes","no","unknown","may",264,-1,"no"
42,"married","secondary","no","no","cellular","nov",124,-1,"no"
42,"married","unknown","yes","no","unknown","may",299,-1,"no"
35,"divorced","secondary","yes","no","cellular","feb",74,24,"no"
38,"single","tertiary","no","yes","telephone","jul",32,-1,"no"
39,"married","secondary","yes","yes","cellular","may",204,336,"no"
39,"married","tertiary","yes","no","unknown","jun",46,-1,"no"
57,"married","primary","no","no","cellular","nov",902,-1,"no"
33,"married","tertiary","no","no","unknown","may",1287,-1,"no"
47,"divorced","secondary","no","no","cellular","feb",253,-1,"no"
42,"married","primary","no","no","unknown","jun",79,-1,"no"
37,"single","secondary","no","no","cellular","jul",11,-1,"no"
34,"married","tertiary","yes","no","cellular","jul",359,-1,"no"
59,"married","secondary","yes","no","unknown","may",232,-1,"no"
48,"married","secondary","no","no","cellular","aug",273,-1,"no"
41,"married","tertiary","yes","no","cellular","jul",74,-1,"no"
47,"married","tertiary","no","no","cellular","jul",408,-1,"no"
53,"married","unknown","no","no","telephone","feb",137,-1,"no"
60,"married","secondary","no","no","cellular","jul",190,-1,"no"
29,"single","tertiary","no","no","cellular","feb",264,-1,"yes"
38,"divorced","secondary","yes","no","unknown","jun",61,-1,"no"
45,"divorced","secondary","yes","no","unknown","jun",144,-1,"no"
46,"married","secondary","yes","no","cellular","jul",61,-1,"no"
42,"married","primary","yes","no","cellular","jul",98,-1,"no"
57,"married","primary","no","no","cellular","aug",169,-1,"no"
48,"married","secondary","yes","yes","cellular","jul",225,-1,"no"
54,"married","secondary","no","no","cellular","may",820,-1,"yes"
25,"single","secondary","no","no","cellular","feb",215,92,"yes"
35,"married","primary","no","no","cellular","nov",322,-1,"no"
31,"married","tertiary","yes","no","cellular","feb",572,238,"yes"
54,"married","tertiary","no","no","unknown","jun",113,-1,"no"
32,"single","primary","yes","no","cellular","may",90,-1,"no"
46,"married","tertiary","yes","yes","cellular","nov",288,-1,"no"
35,"married","secondary","yes","no","cellular","jul",402,-1,"no"
45,"married","tertiary","yes","no","unknown","jun",332,-1,"no"
39,"single","secondary","yes","no","unknown","jun",348,-1,"no"
34,"married","secondary","yes","no","cellular","feb",97,85,"yes"
28,"divorced","primary","yes","no","unknown","may",867,-1,"no"
52,"married","secondary","yes","no","cellular","apr",201,272,"no"
31,"married","secondary","yes","yes","cellular","may",92,-1,"no"
41,"married","secondary","yes","no","cellular","jul",245,-1,"no"
35,"married","secondary","no","no","cellular","apr",295,303,"no"
37,"divorced","tertiary","yes","no","cellular","apr",60,-1,"no"
28,"single","secondary","no","no","cellular","may",155,-1,"yes"
50,"married","tertiary","no","yes","cellular","oct",96,-1,"yes"
32,"married","secondary","yes","no","cellular","may",77,-1,"no"
44,"single","tertiary","yes","yes","cellular","apr",345,249,"no"
38,"single","secondary","no","no","cellular","feb",275,-1,"no"
44,"divorced","secondary","yes","no","unknown","jun",66,-1,"no"
39,"divorced","tertiary","no","no","cellular","may",170,-1,"no"
29,"single","secondary","yes","yes","cellular","may",16,355,"no"
48,"married","secondary","yes","no","cellular","jan",255,-1,"no"
42,"married","primary","yes","no","cellular","feb",81,273,"no"
34,"single","secondary","no","yes","cellular","jan",136,262,"no"
32,"married","secondary","yes","no","unknown","may",189,-1,"no"
39,"married","tertiary","no","no","cellular","may",181,184,"no"
33,"single","tertiary","no","no","cellular","aug",127,-1,"no"
29,"single","primary","yes","no","unknown","jun",2653,-1,"yes"
37,"married","unknown","yes","no","unknown","may",1106,-1,"no"
46,"married","secondary","yes","no","unknown","may",259,-1,"no"
33,"married","secondary","yes","no","cellular","jul",735,-1,"yes"
32,"single","tertiary","yes","yes","cellular","apr",419,-1,"no"
55,"married","secondary","no","no","cellular","aug",265,91,"yes"
47,"married","primary","yes","no","unknown","may",164,-1,"no"
29,"single","tertiary","no","no","cellular","may",430,50,"yes"
27,"single","tertiary","yes","no","unknown","may",244,-1,"no"
41,"single","secondary","yes","no","cellular","apr",258,-1,"no"
37,"married","primary","no","yes","cellular","jul",15,-1,"no"
36,"married","tertiary","yes","no","cellular","jul",74,-1,"no"
46,"married","secondary","yes","no","cellular","mar",229,-1,"yes"
54,"married","secondary","no","no","cellular","may",309,93,"no"
29,"married","secondary","yes","no","cellular","jul",89,-1,"no"
52,"married","primary","yes","no","cellular","may",198,170,"no"
29,"married","tertiary","yes","no","unknown","jun",72,-1,"no"
27,"single","secondary","yes","no","unknown","may",198,-1,"no"
36,"married","primary","yes","no","cellular","jun",244,-1,"yes"
46,"divorced","tertiary","yes","no","cellular","may",189,-1,"no"
50,"divorced","secondary","no","no","unknown","jun",716,-1,"yes"
30,"married","primary","yes","yes","unknown","may",244,-1,"no"
30,"single","unknown","yes","no","unknown","may",225,-1,"no"
49,"divorced","secondary","no","yes","cellular","jul",439,-1,"no"
26,"single","tertiary","no","no","cellular","jul",262,-1,"no"
32,"single","secondary","yes","yes","cellular","apr",169,316,"no"
36,"married","primary","yes","no","unknown","may",255,-1,"no"
34,"single","secondary","yes","no","cellular","may",9,-1,"no"
59,"married","primary","no","no","unknown","jun",39,-1,"no"
49,"married","secondary","yes","no","cellular","apr",223,182,"yes"
29,"single","primary","yes","yes","cellular","feb",72,274,"no"
43,"divorced","tertiary","no","no","cellular","sep",83,113,"yes"
27,"single","tertiary","no","no","telephone","mar",39,-1,"no"
32,"married","secondary","yes","no","unknown","may",203,-1,"no"
30,"single","primary","no","no","unknown","jun",11,-1,"no"
48,"married","secondary","no","no","cellular","nov",20,-1,"no"
30,"single","secondary","yes","no","unknown","jun",747,-1,"yes"
46,"married","unknown","no","no","unknown","nov",722,-1,"no"
57,"single","secondary","yes","no","cellular","may",99,-1,"no"
38,"married","secondary","no","no","cellular","jul",635,-1,"yes"
48,"married","tertiary","no","no","cellular","aug",14,-1,"no"
73,"married","secondary","no","no","cellular","may",157,28,"no"
48,"divorced","secondary","yes","no","cellular","jul",84,-1,"no"
55,"married","secondary","no","no","telephone","jul",153,-1,"no"
26,"single","secondary","no","no","cellular","may",445,-1,"yes"
35,"married","secondary","yes","no","cellular","jul",173,-1,"no"
39,"married","secondary","yes","yes","unknown","may",35,-1,"no"
46,"married","secondary","yes","no","cellular","apr",226,-1,"no"
30,"single","tertiary","no","no","cellular","sep",77,-1,"no"
40,"married","primary","yes","yes","unknown","may",56,-1,"no"
35,"single","secondary","yes","no","unknown","may",81,-1,"no"
46,"married","unknown","yes","no","cellular","may",725,-1,"yes"
34,"single","secondary","yes","no","cellular","nov",963,-1,"yes"
31,"married","secondary","yes","no","cellular","jul",211,-1,"no"
37,"married","tertiary","no","no","cellular","jul",224,-1,"yes"
36,"married","secondary","yes","no","cellular","apr",254,-1,"no"
34,"single","secondary","no","no","cellular","jun",282,126,"yes"
34,"married","secondary","yes","no","cellular","aug",67,-1,"no"
52,"divorced","secondary","yes","no","cellular","apr",498,-1,"no"
26,"married","primary","yes","no","unknown","may",99,-1,"no"
37,"married","tertiary","yes","no","cellular","jul",70,-1,"no"
42,"married","secondary","yes","no","unknown","may",66,-1,"no"
47,"married","tertiary","no","no","cellular","jul",87,-1,"no"
39,"married","primary","no","no","cellular","nov",201,-1,"no"
41,"single","secondary","yes","no","telephone","nov",661,-1,"no"
48,"married","tertiary","no","no","cellular","aug",162,-1,"no"
42,"single","tertiary","yes","no","telephone","feb",43,-1,"no"
51,"married","secondary","yes","yes","cellular","nov",346,-1,"no"
34,"married","secondary","no","no","cellular","nov",114,-1,"no"
29,"married","tertiary","yes","no","unknown","may",304,-1,"no"
51,"married","secondary","yes","no","cellular","may",361,364,"no"
38,"married","secondary","yes","no","unknown","jun",235,-1,"no"
47,"married","secondary","yes","no","telephone","jul",105,-1,"no"
30,"single","tertiary","no","no","cellular","nov",87,-1,"no"
33,"single","tertiary","yes","no","cellular","may",59,-1,"no"
60,"married","tertiary","no","no","cellular","aug",101,-1,"no"
59,"divorced","primary","yes","no","unknown","may",165,-1,"no"
31,"single","secondary","no","no","cellular","may",529,-1,"no"
46,"single","tertiary","no","no","telephone","jun",94,-1,"no"
40,"married","tertiary","yes","no","unknown","may",198,-1,"no"
25,"single","secondary","no","no","cellular","jun",252,92,"yes"
27,"single","primary","yes","no","cellular","may",276,301,"no"
60,"married","primary","no","no","cellular","feb",480,189,"no"
27,"married","secondary","yes","no","cellular","jul",124,-1,"no"
55,"married","tertiary","no","no","cellular","aug",59,-1,"no"
31,"divorced","secondary","no","no","cellular","jan",138,164,"no"
47,"married","secondary","yes","no","unknown","may",943,-1,"yes"
37,"single","tertiary","no","no","cellular","nov",110,-1,"no"
60,"married","tertiary","no","no","cellular","jun",195,-1,"no"
39,"married","secondary","yes","no","cellular","feb",84,267,"no"
38,"married","secondary","yes","no","cellular","apr",45,153,"no"
31,"single","secondary","yes","no","cellular","may",239,-1,"no"
25,"single","secondary","yes","no","unknown","jun",214,-1,"no"
51,"married","primary","no","no","unknown","jun",92,-1,"no"
43,"single","secondary","no","no","unknown","may",243,-1,"no"
32,"married","primary","yes","no","cellular","may",130,-1,"no"
41,"married","secondary","yes","no","cellular","may",90,348,"no"
54,"married","secondary","yes","no","unknown","may",27,-1,"no"
65,"married","secondary","yes","no","cellular","oct",349,183,"yes"
55,"married","tertiary","no","no","unknown","jun",49,-1,"no"
49,"single","tertiary","no","no","cellular","apr",191,-1,"no"
59,"divorced","secondary","yes","no","cellular","nov",319,165,"no"
49,"married","primary","yes","yes","cellular","may",99,-1,"no"
30,"single","primary","yes","no","cellular","may",148,345,"no"
59,"divorced","secondary","no","yes","telephone","jul",176,-1,"no"
48,"single","secondary","yes","no","unknown","jun",245,-1,"no"
45,"married","secondary","no","no","cellular","aug",95,-1,"no"
33,"married","secondary","no","yes","cellular","jul",92,-1,"no"
52,"single","unknown","yes","no","telephone","may",82,335,"no"
50,"married","secondary","yes","no","telephone","may",352,175,"no"
53,"married","primary","no","no","cellular","jan",470,-1,"yes"
40,"married","tertiary","yes","yes","cellular","jul",843,-1,"no"
38,"married","unknown","no","no","unknown","jun",57,-1,"no"
80,"married","secondary","no","no","telephone","oct",219,-1,"no"
42,"single","secondary","yes","no","unknown","may",146,-1,"no"
38,"married","secondary","yes","no","cellular","apr",503,-1,"no"
30,"married","secondary","yes","yes","unknown","may",107,-1,"no"
40,"married","secondary","no","no","unknown","jun",30,-1,"no"
53,"married","secondary","no","no","cellular","aug",59,-1,"no"
32,"single","secondary","no","yes","cellular","feb",432,-1,"yes"
44,"single","primary","no","no","telephone","jul",564,-1,"no"
33,"married","primary","yes","no","unknown","may",304,-1,"no"
55,"single","secondary","yes","no","unknown","may",34,-1,"no"
33,"single","secondary","yes","no","cellular","may",133,353,"no"
43,"married","secondary","yes","no","cellular","feb",137,264,"no"
30,"married","secondary","yes","no","cellular","apr",476,-1,"no"
40,"married","secondary","yes","no","cellular","nov",365,100,"no"
31,"single","secondary","no","no","unknown","may",413,-1,"no"
40,"married","unknown","yes","no","unknown","may",465,-1,"no"
50,"married","secondary","yes","yes","telephone","jul",141,-1,"no"
30,"single","tertiary","no","yes","cellular","jul",91,-1,"no"
72,"single","unknown","no","yes","cellular","mar",66,-1,"no"
40,"divorced","secondary","no","no","cellular","nov",98,-1,"no"
44,"married","secondary","yes","no","cellular","apr",122,136,"no"
55,"married","tertiary","no","no","cellular","aug",116,-1,"no"
38,"married","primary","no","no","cellular","jul",33,-1,"no"
48,"single","secondary","no","no","unknown","jun",1005,-1,"no"
55,"married","secondary","no","no","cellular","jul",538,-1,"no"
34,"married","secondary","no","no","cellular","aug",67,-1,"no"
58,"married","secondary","no","no","unknown","may",362,-1,"no"
51,"single","secondary","no","no","unknown","jun",78,-1,"no"
25,"single","secondary","yes","no","unknown","may",156,-1,"no"
39,"married","tertiary","no","yes","cellular","jul",182,-1,"no"
54,"married","secondary","yes","yes","cellular","nov",137,-1,"no"
27,"single","primary","yes","no","cellular","may",54,-1,"no"
36,"married","secondary","no","no","cellular","aug",125,-1,"no"
46,"married","secondary","no","no","telephone","jul",43,-1,"no"
32,"married","tertiary","yes","no","cellular","may",1111,-1,"yes"
40,"married","tertiary","yes","no","cellular","jul",1018,-1,"no"
58,"married","secondary","yes","no","unknown","jun",319,-1,"no"
41,"married","secondary","yes","no","cellular","jul",91,-1,"no"
31,"married","secondary","yes","no","cellular","jul",119,-1,"no"
28,"single","tertiary","yes","no","unknown","may",293,-1,"no"
27,"single","tertiary","no","no","cellular","apr",165,-1,"yes"
36,"married","secondary","no","no","unknown","jun",1093,-1,"yes"
31,"married","tertiary","no","yes","unknown","jul",143,-1,"no"
35,"married","secondary","yes","no","unknown","may",1056,-1,"no"
45,"married","primary","no","no","cellular","aug",317,-1,"no"
45,"single","secondary","yes","no","cellular","apr",754,143,"no"
51,"divorced","secondary","no","no","telephone","feb",23,-1,"no"
55,"married","tertiary","no","no","cellular","aug",545,-1,"no"
38,"single","primary","yes","no","cellular","jan",70,-1,"no"
35,"single","secondary","yes","no","cellular","apr",8,-1,"no"
37,"married","secondary","no","no","cellular","jul",179,-1,"no"
36,"single","tertiary","no","no","cellular","apr",260,-1,"yes"
47,"single","tertiary","no","no","unknown","jun",993,-1,"yes"
37,"single","secondary","no","no","cellular","jan",1600,-1,"yes"
24,"single","secondary","no","no","cellular","jul",106,-1,"no"
32,"single","secondary","yes","no","cellular","apr",135,521,"no"
50,"married","secondary","yes","no","cellular","aug",69,-1,"no"
36,"married","tertiary","yes","no","cellular","jun",132,392,"no"
28,"single","tertiary","yes","no","cellular","apr",205,82,"yes"
46,"married","secondary","no","no","cellular","aug",210,-1,"no"
49,"married","secondary","yes","yes","cellular","may",199,167,"no"
40,"married","secondary","no","no","unknown","jun",87,-1,"no"
39,"married","secondary","yes","yes","cellular","jan",199,234,"no"
34,"married","secondary","yes","no","unknown","may",170,-1,"no"
48,"divorced","tertiary","yes","no","unknown","jun",64,-1,"no"
32,"married","secondary","yes","yes","unknown","may",214,-1,"no"
57,"married","secondary","no","no","telephone","jan",585,192,"yes"
53,"married","secondary","yes","no","unknown","may",155,-1,"no"
72,"married","secondary","no","no","cellular","dec",546,-1,"yes"
37,"single","tertiary","no","no","cellular","sep",238,464,"no"
56,"married","tertiary","yes","no","cellular","jul",156,-1,"no"
35,"married","tertiary","no","no","cellular","apr",144,-1,"no"
59,"married","secondary","no","no","telephone","jul",10,-1,"no"
49,"married","unknown","yes","no","unknown","may",241,-1,"no"
52,"married","primary","no","no","cellular","aug",273,-1,"no"
47,"married","unknown","no","no","cellular","aug",455,-1,"no"
42,"married","secondary","no","no","cellular","aug",67,-1,"no"
53,"married","tertiary","yes","no","cellular","feb",128,-1,"no"
41,"married","secondary","yes","no","unknown","jun",20,-1,"no"
56,"married","secondary","yes","yes","cellular","jul",98,-1,"no"
37,"single","secondary","no","no","cellular","jan",79,-1,"no"
46,"married","tertiary","no","no","cellular","aug",87,-1,"no"
29,"married","secondary","yes","yes","cellular","jul",141,-1,"no"
42,"married","secondary","yes","no","cellular","jun",271,92,"yes"
31,"married","secondary","no","no","cellular","aug",720,-1,"yes"
28,"single","tertiary","yes","yes","unknown","may",300,-1,"no"
32,"divorced","tertiary","yes","no","cellular","jan",131,127,"no"
34,"married","tertiary","yes","no","cellular","feb",189,-1,"no"
52,"married","secondary","yes","no","unknown","may",132,-1,"no"
39,"married","primary","yes","no","cellular","may",290,-1,"no"
31,"married","tertiary","no","no","cellular","jun",192,93,"yes"
43,"married","secondary","yes","no","unknown","jun",14,-1,"no"
32,"single","secondary","no","no","cellular","aug",71,-1,"no"
50,"married","primary","yes","no","unknown","may",221,-1,"no"
51,"married","unknown","no","no","cellular","jun",458,-1,"yes"
50,"divorced","secondary","yes","no","unknown","jun",113,-1,"no"
54,"married","secondary","no","yes","cellular","jan",105,-1,"no"
38,"married","secondary","yes","no","cellular","jul",13,-1,"no"
55,"married","primary","no","no","cellular","aug",118,-1,"no"
46,"married","secondary","yes","no","unknown","may",50,-1,"no"
35,"married","secondary","yes","no","cellular","may",125,175,"no"
49,"married","secondary","yes","no","cellular","jul",155,-1,"no"
51,"married","secondary","no","yes","unknown","jun",155,-1,"no"
54,"married","primary","no","no","cellular","jul",115,-1,"no"
52,"married","unknown","yes","no","unknown","may",253,-1,"no"
24,"single","secondary","yes","no","cellular","may",7,-1,"no"
42,"married","secondary","yes","no","cellular","may",67,-1,"no"
37,"single","primary","no","no","unknown","jun",131,-1,"no"
51,"married","primary","no","no","cellular","aug",121,-1,"no"
27,"single","tertiary","yes","no","unknown","may",897,-1,"yes"
36,"married","secondary","yes","no","unknown","jun",202,-1,"no"
57,"married","unknown","no","no","unknown","jun",340,-1,"no"
30,"single","secondary","yes","no","unknown","may",116,-1,"no"
41,"single","primary","yes","no","cellular","may",198,167,"no"
36,"married","tertiary","no","no","cellular","may",322,-1,"yes"
56,"married","secondary","no","no","cellular","aug",70,-1,"no"
25,"divorced","secondary","no","yes","cellular","jul",483,-1,"no"
49,"divorced","tertiary","no","no","cellular","mar",111,585,"no"
31,"single","tertiary","no","no","cellular","jul",64,-1,"no"
36,"married","tertiary","no","no","unknown","jun",222,-1,"no"
49,"married","primary","no","no","cellular","jul",51,-1,"no"
31,"single","secondary","yes","no","cellular","may",127,-1,"no"
41,"divorced","tertiary","yes","no","unknown","may",270,-1,"no"
32,"married","secondary","yes","no","unknown","may",294,-1,"no"
39,"single","secondary","yes","no","cellular","may",247,-1,"no"
30,"single","tertiary","yes","yes","unknown","may",261,-1,"no"
25,"single","secondary","no","no","cellular","jul",246,-1,"no"
26,"single","tertiary","no","no","cellular","jul",178,-1,"no"
36,"married","secondary","no","no","unknown","jun",243,-1,"no"
47,"married","secondary","no","no","cellular","aug",618,-1,"no"
39,"married","primary","yes","no","unknown","may",181,-1,"no"
29,"single","secondary","yes","no","unknown","may",214,-1,"no"
43,"married","tertiary","yes","no","unknown","may",166,-1,"no"
38,"single","primary","yes","yes","cellular","may",84,290,"no"
51,"divorced","secondary","no","no","telephone","jul",273,-1,"no"
39,"married","secondary","yes","yes","unknown","may",240,-1,"no"
38,"married","secondary","no","no","cellular","jul",624,-1,"no"
44,"divorced","secondary","yes","no","cellular","apr",142,-1,"no"
49,"married","secondary","yes","no","unknown","jun",51,-1,"no"
41,"single","tertiary","no","no","cellular","dec",352,182,"no"
51,"married","tertiary","yes","yes","cellular","jul",252,-1,"no"
41,"married","secondary","yes","no","cellular","nov",1055,177,"no"
53,"divorced","secondary","no","no","unknown","jun",150,-1,"no"
28,"single","tertiary","no","no","cellular","may",69,99,"no"
