age,marital,education,housing,loan,contact,month,duration,pdays,TermDeposit,contacted_before
37,married,secondary,no,no,cellular,feb,276,167.0,no,1
47,married,secondary,yes,no,cellular,apr,20,,no,0
36,married,secondary,yes,no,cellular,may,86,,no,0
48,married,secondary,no,yes,cellular,jul,302,,no,0
36,single,tertiary,no,no,cellular,apr,567,595.0,yes,1
47,married,secondary,yes,no,cellular,may,230,354.0,no,1
32,single,tertiary,no,no,unknown,dec,10,,no,0
58,married,secondary,yes,no,cellular,apr,286,,no,0
46,married,primary,no,no,cellular,aug,322,,no,0
34,married,primary,yes,no,unknown,may,192,,no,0
37,single,secondary,no,yes,cellular,jul,661,,yes,0
36,married,secondary,yes,no,telephone,jan,99,259.0,no,1
52,married,secondary,yes,no,telephone,nov,102,188.0,no,1
37,single,secondary,yes,no,cellular,feb,96,271.0,no,1
44,married,primary,yes,no,unknown,may,113,,no,0
26,single,tertiary,no,no,cellular,feb,136,,no,0
43,divorced,secondary,no,no,cellular,nov,1468,,yes,0
31,married,tertiary,no,no,cellular,apr,739,,yes,0
30,married,tertiary,no,no,cellular,aug,137,,no,0
42,married,secondary,no,no,cellular,aug,314,,no,0
66,married,tertiary,no,no,cellular,jan,156,,no,0
36,married,tertiary,no,no,cellular,jul,150,,no,0
38,married,primary,no,no,cellular,jul,267,,no,0
40,married,secondary,yes,yes,cellular,nov,173,,no,0
31,married,secondary,yes,no,cellular,nov,391,,no,0
41,married,secondary,yes,no,unknown,may,221,,no,0
54,married,secondary,yes,no,cellular,may,65,342.0,no,1
44,married,secondary,yes,yes,unknown,jun,271,,no,0
33,divorced,secondary,no,no,cellular,feb,207,,no,0
35,married,tertiary,yes,no,cellular,jul,65,,no,0
36,married,secondary,yes,no,unknown,may,482,,no,0
47,married,tertiary,no,yes,cellular,aug,898,,no,0
31,single,secondary,no,no,cellular,jul,167,181.0,no,1
45,married,secondary,yes,yes,cellular,jan,625,,no,0
26,single,secondary,yes,no,unknown,jun,18,,no,0
53,married,secondary,no,no,cellular,aug,78,,no,0
50,married,tertiary,no,yes,cellular,aug,50,,no,0
43,married,secondary,yes,no,telephone,may,128,324.0,no,1
33,married,secondary,yes,no,cellular,apr,322,,no,0
30,single,unknown,yes,no,cellular,nov,1206,,no,0
42,married,tertiary,yes,no,cellular,nov,149,186.0,no,1
51,divorced,tertiary,no,no,cellular,aug,84,,no,0
51,divorced,tertiary,yes,no,cellular,nov,72,,no,0
49,married,primary,yes,yes,unknown,may,520,,yes,0
43,single,tertiary,no,no,unknown,jun,147,,no,0
30,married,secondary,yes,no,cellular,jul,15,,no,0
42,married,tertiary,no,no,cellular,feb,156,,yes,0
32,married,secondary,yes,yes,cellular,aug,132,,no,0
40,married,secondary,yes,no,unknown,may,735,,no,0
56,married,primary,yes,no,telephone,may,179,,no,0
43,married,tertiary,no,no,cellular,dec,150,195.0,yes,1
53,divorced,tertiary,no,no,cellular,aug,173,,no,0
45,married,secondary,no,no,unknown,jun,442,,no,0
47,married,primary,yes,yes,cellular,aug,166,,no,0
35,single,secondary,yes,no,cellular,may,85,,no,0
58,married,secondary,no,no,cellular,jan,536,,no,0
50,single,tertiary,no,no,unknown,jun,338,,no,0
35,single,tertiary,no,no,cellular,jun,651,,yes,0
39,married,secondary,no,no,cellular,aug,102,,no,0
29,single,tertiary,no,no,cellular,aug,130,94.0,yes,1
39,single,tertiary,yes,no,cellular,nov,147,170.0,no,1
43,married,secondary,no,no,cellular,jul,129,,no,0
60,married,secondary,no,yes,cellular,aug,87,,no,0
43,divorced,secondary,yes,no,cellular,jan,74,,no,0
60,married,unknown,yes,no,unknown,jun,32,,no,0
48,married,primary,yes,no,cellular,feb,144,209.0,no,1
45,single,tertiary,no,no,cellular,nov,125,,no,0
39,divorced,secondary,yes,yes,cellular,oct,222,,yes,0
54,married,secondary,yes,no,cellular,aug,164,,no,0
42,married,tertiary,yes,yes,unknown,may,193,,no,0
46,married,secondary,no,no,cellular,aug,565,,yes,0
30,married,tertiary,yes,no,cellular,jan,464,258.0,no,1
52,married,primary,yes,no,unknown,may,60,,no,0
41,married,secondary,yes,no,cellular,may,208,325.0,no,1
36,single,secondary,yes,no,cellular,nov,139,,no,0
39,married,tertiary,yes,no,unknown,jun,268,,no,0
31,single,secondary,no,yes,cellular,jul,230,,no,0
54,married,tertiary,yes,yes,unknown,may,12,,no,0
39,divorced,tertiary,yes,no,cellular,nov,1337,126.0,no,1
38,married,secondary,yes,yes,unknown,jun,406,,no,0
51,divorced,primary,no,no,telephone,jan,360,,no,0
31,single,secondary,no,yes,cellular,aug,186,,no,0
36,married,tertiary,no,no,cellular,aug,558,,no,0
47,married,tertiary,no,no,cellular,mar,80,,yes,0
31,married,secondary,yes,no,cellular,apr,342,,no,0
37,married,secondary,no,yes,unknown,jun,89,,no,0
52,married,primary,yes,no,unknown,may,30,,no,0
30,married,secondary,yes,no,cellular,apr,294,275.0,no,1
32,married,secondary,no,no,cellular,jan,366,,yes,0
41,married,primary,yes,no,unknown,may,423,,no,0
30,single,secondary,yes,yes,unknown,may,220,,no,0
33,single,secondary,no,yes,cellular,nov,966,,no,0
47,married,primary,no,no,unknown,jun,148,,no,0
60,divorced,secondary,no,no,cellular,feb,282,,no,0
42,married,primary,no,no,unknown,jun,19,,no,0
37,married,tertiary,no,no,cellular,aug,23,,no,0
35,married,secondary,no,no,unknown,may,274,,no,0
26,single,tertiary,yes,no,telephone,nov,5,,no,0
31,married,tertiary,yes,no,unknown,jun,138,,no,0
31,married,primary,yes,no,unknown,may,104,,no,0
31,married,primary,yes,no,cellular,feb,256,190.0,no,1
52,single,secondary,yes,no,cellular,jul,159,,no,0
28,married,secondary,yes,no,cellular,may,74,,no,0
47,married,secondary,yes,yes,unknown,may,370,,no,0
59,married,secondary,no,no,unknown,jun,77,,no,0
59,divorced,primary,no,yes,cellular,jul,116,,no,0
46,single,tertiary,no,yes,cellular,nov,104,,no,0
32,single,tertiary,yes,no,unknown,may,264,,no,0
42,married,secondary,no,no,cellular,nov,124,,no,0
42,married,unknown,yes,no,unknown,may,299,,no,0
35,divorced,secondary,yes,no,cellular,feb,74,24.0,no,1
38,single,tertiary,no,yes,telephone,jul,32,,no,0
39,married,secondary,yes,yes,cellular,may,204,336.0,no,1
39,married,tertiary,yes,no,unknown,jun,46,,no,0
57,married,primary,no,no,cellular,nov,902,,no,0
33,married,tertiary,no,no,unknown,may,1287,,no,0
47,divorced,secondary,no,no,cellular,feb,253,,no,0
42,married,primary,no,no,unknown,jun,79,,no,0
37,single,secondary,no,no,cellular,jul,11,,no,0
34,married,tertiary,yes,no,cellular,jul,359,,no,0
59,married,secondary,yes,no,unknown,may,232,,no,0
48,married,secondary,no,no,cellular,aug,273,,no,0
41,married,tertiary,yes,no,cellular,jul,74,,no,0
47,married,tertiary,no,no,cellular,jul,408,,no,0
53,married,unknown,no,no,telephone,feb,137,,no,0
60,married,secondary,no,no,cellular,jul,190,,no,0
29,single,tertiary,no,no,cellular,feb,264,,yes,0
38,divorced,secondary,yes,no,unknown,jun,61,,no,0
45,divorced,secondary,yes,no,unknown,jun,144,,no,0
46,married,secondary,yes,no,cellular,jul,61,,no,0
42,married,primary,yes,no,cellular,jul,98,,no,0
57,married,primary,no,no,cellular,aug,169,,no,0
48,married,secondary,yes,yes,cellular,jul,225,,no,0
54,married,secondary,no,no,cellular,may,820,,yes,0
25,single,secondary,no,no,cellular,feb,215,92.0,yes,1
35,married,primary,no,no,cellular,nov,322,,no,0
31,married,tertiary,yes,no,cellular,feb,572,238.0,yes,1
54,married,tertiary,no,no,unknown,jun,113,,no,0
32,single,primary,yes,no,cellular,may,90,,no,0
46,married,tertiary,yes,yes,cellular,nov,288,,no,0
35,married,secondary,yes,no,cellular,jul,402,,no,0
45,married,tertiary,yes,no,unknown,jun,332,,no,0
39,single,secondary,yes,no,unknown,jun,348,,no,0
34,married,secondary,yes,no,cellular,feb,97,85.0,yes,1
28,divorced,primary,yes,no,unknown,may,867,,no,0
52,married,secondary,yes,no,cellular,apr,201,272.0,no,1
31,married,secondary,yes,yes,cellular,may,92,,no,0
41,married,secondary,yes,no,cellular,jul,245,,no,0
35,married,secondary,no,no,cellular,apr,295,303.0,no,1
37,divorced,tertiary,yes,no,cellular,apr,60,,no,0
28,single,secondary,no,no,cellular,may,155,,yes,0
50,married,tertiary,no,yes,cellular,oct,96,,yes,0
32,married,secondary,yes,no,cellular,may,77,,no,0
44,single,tertiary,yes,yes,cellular,apr,345,249.0,no,1
38,single,secondary,no,no,cellular,feb,275,,no,0
44,divorced,secondary,yes,no,unknown,jun,66,,no,0
39,divorced,tertiary,no,no,cellular,may,170,,no,0
29,single,secondary,yes,yes,cellular,may,16,355.0,no,1
48,married,secondary,yes,no,cellular,jan,255,,no,0
42,married,primary,yes,no,cellular,feb,81,273.0,no,1
34,single,secondary,no,yes,cellular,jan,136,262.0,no,1
32,married,secondary,yes,no,unknown,may,189,,no,0
39,married,tertiary,no,no,cellular,may,181,184.0,no,1
33,single,tertiary,no,no,cellular,aug,127,,no,0
29,single,primary,yes,no,unknown,jun,2653,,yes,0
37,married,unknown,yes,no,unknown,may,1106,,no,0
46,married,secondary,yes,no,unknown,may,259,,no,0
33,married,secondary,yes,no,cellular,jul,735,,yes,0
32,single,tertiary,yes,yes,cellular,apr,419,,no,0
55,married,secondary,no,no,cellular,aug,265,91.0,yes,1
47,married,primary,yes,no,unknown,may,164,,no,0
29,single,tertiary,no,no,cellular,may,430,50.0,yes,1
27,single,tertiary,yes,no,unknown,may,244,,no,0
41,single,secondary,yes,no,cellular,apr,258,,no,0
37,married,primary,no,yes,cellular,jul,15,,no,0
36,married,tertiary,yes,no,cellular,jul,74,,no,0
46,married,secondary,yes,no,cellular,mar,229,,yes,0
54,married,secondary,no,no,cellular,may,309,93.0,no,1
29,married,secondary,yes,no,cellular,jul,89,,no,0
52,married,primary,yes,no,cellular,may,198,170.0,no,1
29,married,tertiary,yes,no,unknown,jun,72,,no,0
27,single,secondary,yes,no,unknown,may,198,,no,0
36,married,primary,yes,no,cellular,jun,244,,yes,0
46,divorced,tertiary,yes,no,cellular,may,189,,no,0
50,divorced,secondary,no,no,unknown,jun,716,,yes,0
30,married,primary,yes,yes,unknown,may,244,,no,0
30,single,unknown,yes,no,unknown,may,225,,no,0
49,divorced,secondary,no,yes,cellular,jul,439,,no,0
26,single,tertiary,no,no,cellular,jul,262,,no,0
32,single,secondary,yes,yes,cellular,apr,169,316.0,no,1
36,married,primary,yes,no,unknown,may,255,,no,0
34,single,secondary,yes,no,cellular,may,9,,no,0
59,married,primary,no,no,unknown,jun,39,,no,0
49,married,secondary,yes,no,cellular,apr,223,182.0,yes,1
29,single,primary,yes,yes,cellular,feb,72,274.0,no,1
43,divorced,tertiary,no,no,cellular,sep,83,113.0,yes,1
27,single,tertiary,no,no,telephone,mar,39,,no,0
32,married,secondary,yes,no,unknown,may,203,,no,0
30,single,primary,no,no,unknown,jun,11,,no,0
48,married,secondary,no,no,cellular,nov,20,,no,0
30,single,secondary,yes,no,unknown,jun,747,,yes,0
46,married,unknown,no,no,unknown,nov,722,,no,0
57,single,secondary,yes,no,cellular,may,99,,no,0
38,married,secondary,no,no,cellular,jul,635,,yes,0
48,married,tertiary,no,no,cellular,aug,14,,no,0
73,married,secondary,no,no,cellular,may,157,28.0,no,1
48,divorced,secondary,yes,no,cellular,jul,84,,no,0
55,married,secondary,no,no,telephone,jul,153,,no,0
26,single,secondary,no,no,cellular,may,445,,yes,0
35,married,secondary,yes,no,cellular,jul,173,,no,0
39,married,secondary,yes,yes,unknown,may,35,,no,0
46,married,secondary,yes,no,cellular,apr,226,,no,0
30,single,tertiary,no,no,cellular,sep,77,,no,0
40,married,primary,yes,yes,unknown,may,56,,no,0
35,single,secondary,yes,no,unknown,may,81,,no,0
46,married,unknown,yes,no,cellular,may,725,,yes,0
34,single,secondary,yes,no,cellular,nov,963,,yes,0
31,married,secondary,yes,no,cellular,jul,211,,no,0
37,married,tertiary,no,no,cellular,jul,224,,yes,0
36,married,secondary,yes,no,cellular,apr,254,,no,0
34,single,secondary,no,no,cellular,jun,282,126.0,yes,1
34,married,secondary,yes,no,cellular,aug,67,,no,0
52,divorced,secondary,yes,no,cellular,apr,498,,no,0
26,married,primary,yes,no,unknown,may,99,,no,0
37,married,tertiary,yes,no,cellular,jul,70,,no,0
42,married,secondary,yes,no,unknown,may,66,,no,0
47,married,tertiary,no,no,cellular,jul,87,,no,0
39,married,primary,no,no,cellular,nov,201,,no,0
41,single,secondary,yes,no,telephone,nov,661,,no,0
48,married,tertiary,no,no,cellular,aug,162,,no,0
42,single,tertiary,yes,no,telephone,feb,43,,no,0
51,married,secondary,yes,yes,cellular,nov,346,,no,0
34,married,secondary,no,no,cellular,nov,114,,no,0
29,married,tertiary,yes,no,unknown,may,304,,no,0
51,married,secondary,yes,no,cellular,may,361,364.0,no,1
38,married,secondary,yes,no,unknown,jun,235,,no,0
47,married,secondary,yes,no,telephone,jul,105,,no,0
30,single,tertiary,no,no,cellular,nov,87,,no,0
33,single,tertiary,yes,no,cellular,may,59,,no,0
60,married,tertiary,no,no,cellular,aug,101,,no,0
59,divorced,primary,yes,no,unknown,may,165,,no,0
31,single,secondary,no,no,cellular,may,529,,no,0
46,single,tertiary,no,no,telephone,jun,94,,no,0
40,married,tertiary,yes,no,unknown,may,198,,no,0
25,single,secondary,no,no,cellular,jun,252,92.0,yes,1
27,single,primary,yes,no,cellular,may,276,301.0,no,1
60,married,primary,no,no,cellular,feb,480,189.0,no,1
27,married,secondary,yes,no,cellular,jul,124,,no,0
55,married,tertiary,no,no,cellular,aug,59,,no,0
31,divorced,secondary,no,no,cellular,jan,138,164.0,no,1
47,married,secondary,yes,no,unknown,may,943,,yes,0
37,single,tertiary,no,no,cellular,nov,110,,no,0
60,married,tertiary,no,no,cellular,jun,195,,no,0
39,married,secondary,yes,no,cellular,feb,84,267.0,no,1
38,married,secondary,yes,no,cellular,apr,45,153.0,no,1
31,single,secondary,yes,no,cellular,may,239,,no,0
25,single,secondary,yes,no,unknown,jun,214,,no,0
51,married,primary,no,no,unknown,jun,92,,no,0
43,single,secondary,no,no,unknown,may,243,,no,0
32,married,primary,yes,no,cellular,may,130,,no,0
41,married,secondary,yes,no,cellular,may,90,348.0,no,1
54,married,secondary,yes,no,unknown,may,27,,no,0
65,married,secondary,yes,no,cellular,oct,349,183.0,yes,1
55,married,tertiary,no,no,unknown,jun,49,,no,0
49,single,tertiary,no,no,cellular,apr,191,,no,0
59,divorced,secondary,yes,no,cellular,nov,319,165.0,no,1
49,married,primary,yes,yes,cellular,may,99,,no,0
30,single,primary,yes,no,cellular,may,148,345.0,no,1
59,divorced,secondary,no,yes,telephone,jul,176,,no,0
48,single,secondary,yes,no,unknown,jun,245,,no,0
45,married,secondary,no,no,cellular,aug,95,,no,0
33,married,secondary,no,yes,cellular,jul,92,,no,0
52,single,unknown,yes,no,telephone,may,82,335.0,no,1
50,married,secondary,yes,no,telephone,may,352,175.0,no,1
53,married,primary,no,no,cellular,jan,470,,yes,0
40,married,tertiary,yes,yes,cellular,jul,843,,no,0
38,married,unknown,no,no,unknown,jun,57,,no,0
80,married,secondary,no,no,telephone,oct,219,,no,0
42,single,secondary,yes,no,unknown,may,146,,no,0
38,married,secondary,yes,no,cellular,apr,503,,no,0
30,married,secondary,yes,yes,unknown,may,107,,no,0
40,married,secondary,no,no,unknown,jun,30,,no,0
53,married,secondary,no,no,cellular,aug,59,,no,0
32,single,secondary,no,yes,cellular,feb,432,,yes,0
44,single,primary,no,no,telephone,jul,564,,no,0
33,married,primary,yes,no,unknown,may,304,,no,0
55,single,secondary,yes,no,unknown,may,34,,no,0
33,single,secondary,yes,no,cellular,may,133,353.0,no,1
43,married,secondary,yes,no,cellular,feb,137,264.0,no,1
30,married,secondary,yes,no,cellular,apr,476,,no,0
40,married,secondary,yes,no,cellular,nov,365,100.0,no,1
31,single,secondary,no,no,unknown,may,413,,no,0
40,married,unknown,yes,no,unknown,may,465,,no,0
50,married,secondary,yes,yes,telephone,jul,141,,no,0
30,single,tertiary,no,yes,cellular,jul,91,,no,0
72,single,unknown,no,yes,cellular,mar,66,,no,0
40,divorced,secondary,no,no,cellular,nov,98,,no,0
44,married,secondary,yes,no,cellular,apr,122,136.0,no,1
55,married,tertiary,no,no,cellular,aug,116,,no,0
38,married,primary,no,no,cellular,jul,33,,no,0
48,single,secondary,no,no,unknown,jun,1005,,no,0
55,married,secondary,no,no,cellular,jul,538,,no,0
34,married,secondary,no,no,cellular,aug,67,,no,0
58,married,secondary,no,no,unknown,may,362,,no,0
51,single,secondary,no,no,unknown,jun,78,,no,0
25,single,secondary,yes,no,unknown,may,156,,no,0
39,married,tertiary,no,yes,cellular,jul,182,,no,0
54,married,secondary,yes,yes,cellular,nov,137,,no,0
27,single,primary,yes,no,cellular,may,54,,no,0
36,married,secondary,no,no,cellular,aug,125,,no,0
46,married,secondary,no,no,telephone,jul,43,,no,0
32,married,tertiary,yes,no,cellular,may,1111,,yes,0
40,married,tertiary,yes,no,cellular,jul,1018,,no,0
58,married,secondary,yes,no,unknown,jun,319,,no,0
41,married,secondary,yes,no,cellular,jul,91,,no,0
31,married,secondary,yes,no,cellular,jul,119,,no,0
28,single,tertiary,yes,no,unknown,may,293,,no,0
27,single,tertiary,no,no,cellular,apr,165,,yes,0
36,married,secondary,no,no,unknown,jun,1093,,yes,0
31,married,tertiary,no,yes,unknown,jul,143,,no,0
35,married,secondary,yes,no,unknown,may,1056,,no,0
45,married,primary,no,no,cellular,aug,317,,no,0
45,single,secondary,yes,no,cellular,apr,754,143.0,no,1
51,divorced,secondary,no,no,telephone,feb,23,,no,0
55,married,tertiary,no,no,cellular,aug,545,,no,0
38,single,primary,yes,no,cellular,jan,70,,no,0
35,single,secondary,yes,no,cellular,apr,8,,no,0
37,married,secondary,no,no,cellular,jul,179,,no,0
36,single,tertiary,no,no,cellular,apr,260,,yes,0
47,single,tertiary,no,no,unknown,jun,993,,yes,0
37,single,secondary,no,no,cellular,jan,1600,,yes,0
24,single,secondary,no,no,cellular,jul,106,,no,0
32,single,secondary,yes,no,cellular,apr,135,521.0,no,1
50,married,secondary,yes,no,cellular,aug,69,,no,0
36,married,tertiary,yes,no,cellular,jun,132,392.0,no,1
28,single,tertiary,yes,no,cellular,apr,205,82.0,yes,1
46,married,secondary,no,no,cellular,aug,210,,no,0
49,married,secondary,yes,yes,cellular,may,199,167.0,no,1
40,married,secondary,no,no,unknown,jun,87,,no,0
39,married,secondary,yes,yes,cellular,jan,199,234.0,no,1
34,married,secondary,yes,no,unknown,may,170,,no,0
48,divorced,tertiary,yes,no,unknown,jun,64,,no,0
32,married,secondary,yes,yes,unknown,may,214,,no,0
57,married,secondary,no,no,telephone,jan,585,192.0,yes,1
53,married,secondary,yes,no,unknown,may,155,,no,0
72,married,secondary,no,no,cellular,dec,546,,yes,0
37,single,tertiary,no,no,cellular,sep,238,464.0,no,1
56,married,tertiary,yes,no,cellular,jul,156,,no,0
35,married,tertiary,no,no,cellular,apr,144,,no,0
59,married,secondary,no,no,telephone,jul,10,,no,0
49,married,unknown,yes,no,unknown,may,241,,no,0
52,married,primary,no,no,cellular,aug,273,,no,0
47,married,unknown,no,no,cellular,aug,455,,no,0
42,married,secondary,no,no,cellular,aug,67,,no,0
53,married,tertiary,yes,no,cellular,feb,128,,no,0
41,married,secondary,yes,no,unknown,jun,20,,no,0
56,married,secondary,yes,yes,cellular,jul,98,,no,0
37,single,secondary,no,no,cellular,jan,79,,no,0
46,married,tertiary,no,no,cellular,aug,87,,no,0
29,married,secondary,yes,yes,cellular,jul,141,,no,0
42,married,secondary,yes,no,cellular,jun,271,92.0,yes,1
31,married,secondary,no,no,cellular,aug,720,,yes,0
28,single,tertiary,yes,yes,unknown,may,300,,no,0
32,divorced,tertiary,yes,no,cellular,jan,131,127.0,no,1
34,married,tertiary,yes,no,cellular,feb,189,,no,0
52,married,secondary,yes,no,unknown,may,132,,no,0
39,married,primary,yes,no,cellular,may,290,,no,0
31,married,tertiary,no,no,cellular,jun,192,93.0,yes,1
43,married,secondary,yes,no,unknown,jun,14,,no,0
32,single,secondary,no,no,cellular,aug,71,,no,0
50,married,primary,yes,no,unknown,may,221,,no,0
51,married,unknown,no,no,cellular,jun,458,,yes,0
50,divorced,secondary,yes,no,unknown,jun,113,,no,0
54,married,secondary,no,yes,cellular,jan,105,,no,0
38,married,secondary,yes,no,cellular,jul,13,,no,0
55,married,primary,no,no,cellular,aug,118,,no,0
46,married,secondary,yes,no,unknown,may,50,,no,0
35,married,secondary,yes,no,cellular,may,125,175.0,no,1
49,married,secondary,yes,no,cellular,jul,155,,no,0
51,married,secondary,no,yes,unknown,jun,155,,no,0
54,married,primary,no,no,cellular,jul,115,,no,0
52,married,unknown,yes,no,unknown,may,253,,no,0
24,single,secondary,yes,no,cellular,may,7,,no,0
42,married,secondary,yes,no,cellular,may,67,,no,0
37,single,primary,no,no,unknown,jun,131,,no,0
51,married,primary,no,no,cellular,aug,121,,no,0
27,single,tertiary,yes,no,unknown,may,897,,yes,0
36,married,secondary,yes,no,unknown,jun,202,,no,0
57,married,unknown,no,no,unknown,jun,340,,no,0
30,single,secondary,yes,no,unknown,may,116,,no,0
41,single,primary,yes,no,cellular,may,198,167.0,no,1
36,married,tertiary,no,no,cellular,may,322,,yes,0
56,married,secondary,no,no,cellular,aug,70,,no,0
25,divorced,secondary,no,yes,cellular,jul,483,,no,0
49,divorced,tertiary,no,no,cellular,mar,111,585.0,no,1
31,single,tertiary,no,no,cellular,jul,64,,no,0
36,married,tertiary,no,no,unknown,jun,222,,no,0
49,married,primary,no,no,cellular,jul,51,,no,0
31,single,secondary,yes,no,cellular,may,127,,no,0
41,divorced,tertiary,yes,no,unknown,may,270,,no,0
32,married,secondary,yes,no,unknown,may,294,,no,0
39,single,secondary,yes,no,cellular,may,247,,no,0
30,single,tertiary,yes,yes,unknown,may,261,,no,0
25,single,secondary,no,no,cellular,jul,246,,no,0
26,single,tertiary,no,no,cellular,jul,178,,no,0
36,married,secondary,no,no,unknown,jun,243,,no,0
47,married,secondary,no,no,cellular,aug,618,,no,0
39,married,primary,yes,no,unknown,may,181,,no,0
29,single,secondary,yes,no,unknown,may,214,,no,0
43,married,tertiary,yes,no,unknown,may,166,,no,0
38,single,primary,yes,yes,cellular,may,84,290.0,no,1
51,divorced,secondary,no,no,telephone,jul,273,,no,0
39,married,secondary,yes,yes,unknown,may,240,,no,0
38,married,secondary,no,no,cellular,jul,624,,no,0
44,divorced,secondary,yes,no,cellular,apr,142,,no,0
49,married,secondary,yes,no,unknown,jun,51,,no,0
41,single,tertiary,no,no,cellular,dec,352,182.0,no,1
51,married,tertiary,yes,yes,cellular,jul,252,,no,0
41,married,secondary,yes,no,cellular,nov,1055,177.0,no,1
53,divorced,secondary,no,no,unknown,jun,150,,no,0
28,single,tertiary,no,no,cellular,may,69,99.0,no,1
25,single,secondary,no,no,cellular,jul,144,,no,0
35,divorced,secondary,yes,no,cellular,nov,187,,yes,0
38,married,secondary,yes,no,unknown,may,59,,no,0
59,divorced,primary,yes,no,telephone,jul,69,,no,0
37,divorced,secondary,no,no,cellular,jan,293,162.0,no,1
48,single,secondary,yes,no,unknown,may,198,,no,0
35,single,secondary,no,no,unknown,may,268,,no,0
36,married,primary,no,no,cellular,apr,151,,no,0
54,divorced,primary,yes,no,unknown,jun,173,,no,0
48,single,secondary,yes,no,cellular,may,214,358.0,no,1
49,single,secondary,no,no,unknown,may,14,,no,0
29,single,secondary,yes,yes,unknown,jun,106,,no,0
25,single,secondary,yes,no,unknown,may,393,,no,0
40,married,secondary,yes,yes,unknown,may,263,,no,0
34,married,primary,no,no,cellular,jan,278,97.0,no,1
35,married,secondary,yes,no,cellular,jan,99,245.0,no,1
46,married,tertiary,yes,no,unknown,may,374,,no,0
37,divorced,secondary,yes,no,unknown,may,182,,no,0
32,married,secondary,yes,no,unknown,may,260,,no,0
28,single,secondary,yes,no,unknown,may,158,,no,0
22,single,secondary,yes,no,cellular,apr,84,343.0,no,1
26,single,primary,yes,no,cellular,apr,271,300.0,no,1
39,married,secondary,yes,no,cellular,jul,311,,no,0
34,married,tertiary,yes,no,cellular,apr,28,345.0,no,1
59,divorced,primary,no,no,unknown,jun,404,,no,0
33,single,secondary,yes,no,unknown,may,1128,,no,0
28,single,tertiary,yes,no,cellular,sep,201,,yes,0
35,married,secondary,yes,no,cellular,jul,230,,no,0
34,single,tertiary,no,no,cellular,aug,211,,no,0
43,married,secondary,yes,no,cellular,nov,504,,yes,0
25,single,tertiary,yes,no,cellular,may,263,348.0,no,1
39,married,secondary,yes,no,cellular,apr,436,,no,0
40,single,primary,yes,no,unknown,jun,152,,no,0
44,married,unknown,yes,no,telephone,jul,84,,no,0
58,married,tertiary,no,no,cellular,aug,49,,no,0
71,married,primary,no,no,cellular,sep,246,,no,0
50,married,primary,no,no,unknown,jun,107,,no,0
49,married,tertiary,yes,no,cellular,nov,42,188.0,no,1
